Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
12,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-990.8e-9,,,
12,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=120m,,,,,,
13,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-988.9e-9,,,
13,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=130m,,,,,,
14,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-986.9e-9,,,
14,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=140m,,,,,,
15,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-984.8e-9,,,
15,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=150m,,,,,,
16,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-982.8e-9,,,
16,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=160m,,,,,,
17,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-980.6e-9,,,
17,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=170m,,,,,,
18,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-978.3e-9,,,
18,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=180m,,,,,,
19,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-976e-9,,,
19,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=190m,,,,,,
