V1 ,leafValue( IS("/I117/IOUT") "V2" 1.1 ) (A)
910.0E-3,16.61E-9
920.0E-3,22.14E-9
930.0E-3,29.39E-9
940.0E-3,38.83E-9
950.0E-3,51.02E-9
960.0E-3,66.61E-9
970.0E-3,86.36E-9
980.0E-3,111.1E-9
990.0E-3,141.7E-9
1.000,179.0E-9
1.010,223.8E-9
1.020,276.8E-9
1.030,338.4E-9
1.040,408.8E-9
1.050,487.8E-9
1.060,574.8E-9
1.070,668.9E-9
1.080,768.8E-9
1.090,872.9E-9
1.100,979.4E-9
