Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: VSTART=500m,,,,,,
6,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
6,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",-39.82e-9,,,
Parameters: VSTART=600m,,,,,,
7,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
7,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",-30.4e-9,,,
Parameters: VSTART=700m,,,,,,
8,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
8,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",-20.9e-9,,,
Parameters: VSTART=800m,,,,,,
9,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
9,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",-11.31e-9,,,
Parameters: VSTART=900m,,,,,,
10,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",4.449e-9,,,
10,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
Parameters: VSTART=1,,,,,,
11,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",103.6e-9,,,
11,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
Parameters: VSTART=1.1,,,,,,
12,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",201.7e-9,,,
12,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
Parameters: VSTART=1.2,,,,,,
13,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",298.8e-9,,,
13,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
Parameters: VSTART=1.3,,,,,,
14,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",395.1e-9,,,
14,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
Parameters: VSTART=1.4,,,,,,
15,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",490.6e-9,,,
15,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
Parameters: VSTART=1.5,,,,,,
16,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",585.4e-9,,,
16,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
Parameters: VSTART=1.6,,,,,,
17,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",679.4e-9,,,
17,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
Parameters: VSTART=1.7,,,,,,
18,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",772.9e-9,,,
18,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
Parameters: VSTART=1.8,,,,,,
19,WES_FYP:OUTPUT_SYSTEM_tb:1,"(cross(VT(""/OUT_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P"") 0.9 1 ""rising"" nil nil nil))",865.7e-9,,,
19,WES_FYP:OUTPUT_SYSTEM_tb:1,"(- (cross(VT(""/OUT_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,

