VOUT ,leafValue( IS("/IPMOS/IOUT") "factor" 1.083 ) (A),leafValue( IS("/INMOS/IOUT") "factor" 1.083 ) (A)
810.0E-3,-1.023E-6,990.2E-9
813.6E-3,-1.023E-6,990.6E-9
817.2E-3,-1.022E-6,991.0E-9
820.8E-3,-1.022E-6,991.4E-9
824.4E-3,-1.021E-6,991.8E-9
828.0E-3,-1.021E-6,992.2E-9
831.6E-3,-1.020E-6,992.6E-9
835.2E-3,-1.020E-6,993.0E-9
838.8E-3,-1.019E-6,993.4E-9
842.4E-3,-1.019E-6,993.8E-9
846.0E-3,-1.018E-6,994.2E-9
849.6E-3,-1.018E-6,994.6E-9
853.2E-3,-1.017E-6,995.0E-9
856.8E-3,-1.017E-6,995.4E-9
860.4E-3,-1.017E-6,995.8E-9
864.0E-3,-1.016E-6,996.2E-9
867.6E-3,-1.016E-6,996.6E-9
871.2E-3,-1.015E-6,997.0E-9
874.8E-3,-1.015E-6,997.4E-9
878.4E-3,-1.014E-6,997.7E-9
882.0E-3,-1.014E-6,998.1E-9
885.6E-3,-1.013E-6,998.5E-9
889.2E-3,-1.013E-6,998.9E-9
892.8E-3,-1.012E-6,999.3E-9
896.4E-3,-1.012E-6,999.7E-9
900.0E-3,-1.011E-6,1.000E-6
903.6E-3,-1.011E-6,1.000E-6
907.2E-3,-1.010E-6,1.001E-6
910.8E-3,-1.010E-6,1.001E-6
914.4E-3,-1.010E-6,1.002E-6
918.0E-3,-1.009E-6,1.002E-6
921.6E-3,-1.009E-6,1.002E-6
925.2E-3,-1.008E-6,1.003E-6
928.8E-3,-1.008E-6,1.003E-6
932.4E-3,-1.007E-6,1.004E-6
936.0E-3,-1.007E-6,1.004E-6
939.6E-3,-1.006E-6,1.004E-6
943.2E-3,-1.006E-6,1.005E-6
946.8E-3,-1.005E-6,1.005E-6
950.4E-3,-1.005E-6,1.005E-6
954.0E-3,-1.004E-6,1.006E-6
957.6E-3,-1.004E-6,1.006E-6
961.2E-3,-1.003E-6,1.007E-6
964.8E-3,-1.003E-6,1.007E-6
968.4E-3,-1.002E-6,1.007E-6
972.0E-3,-1.002E-6,1.008E-6
975.6E-3,-1.001E-6,1.008E-6
979.2E-3,-1.001E-6,1.008E-6
982.8E-3,-1.001E-6,1.009E-6
986.4E-3,-1.000E-6,1.009E-6
990.0E-3,-999.6E-9,1.010E-6
