VOUT ,leafValue( IS("/M6/D") "factor" 1.083 ) (A),leafValue( IS("/M3/D") "factor" 1.083 ) (A)
720.0E-3,-999.9E-9,999.7E-9
727.2E-3,-999.9E-9,999.7E-9
734.4E-3,-999.9E-9,999.7E-9
741.6E-3,-999.9E-9,999.7E-9
748.8E-3,-999.9E-9,999.8E-9
756.0E-3,-999.9E-9,999.8E-9
763.2E-3,-999.9E-9,999.8E-9
770.4E-3,-999.9E-9,999.8E-9
777.6E-3,-999.9E-9,999.8E-9
784.8E-3,-999.9E-9,999.8E-9
792.0E-3,-999.9E-9,999.8E-9
799.2E-3,-999.9E-9,999.8E-9
806.4E-3,-999.9E-9,999.8E-9
813.6E-3,-999.9E-9,999.8E-9
820.8E-3,-999.9E-9,999.8E-9
828.0E-3,-999.9E-9,999.8E-9
835.2E-3,-999.8E-9,999.8E-9
842.4E-3,-999.8E-9,999.8E-9
849.6E-3,-999.8E-9,999.8E-9
856.8E-3,-999.8E-9,999.9E-9
864.0E-3,-999.8E-9,999.9E-9
871.2E-3,-999.8E-9,999.9E-9
878.4E-3,-999.8E-9,999.9E-9
885.6E-3,-999.8E-9,999.9E-9
892.8E-3,-999.8E-9,999.9E-9
900.0E-3,-999.8E-9,999.9E-9
907.2E-3,-999.8E-9,999.9E-9
914.4E-3,-999.8E-9,999.9E-9
921.6E-3,-999.8E-9,999.9E-9
928.8E-3,-999.8E-9,999.9E-9
936.0E-3,-999.8E-9,999.9E-9
943.2E-3,-999.8E-9,999.9E-9
950.4E-3,-999.8E-9,999.9E-9
957.6E-3,-999.8E-9,999.9E-9
964.8E-3,-999.8E-9,999.9E-9
972.0E-3,-999.7E-9,999.9E-9
979.2E-3,-999.7E-9,1.000E-6
986.4E-3,-999.7E-9,1.000E-6
993.6E-3,-999.7E-9,1.000E-6
1.001,-999.7E-9,1.000E-6
1.008,-999.7E-9,1.000E-6
1.015,-999.7E-9,1.000E-6
1.022,-999.7E-9,1.000E-6
1.030,-999.7E-9,1.000E-6
1.037,-999.7E-9,1.000E-6
1.044,-999.7E-9,1.000E-6
1.051,-999.7E-9,1.000E-6
1.058,-999.7E-9,1.000E-6
1.066,-999.7E-9,1.000E-6
1.073,-999.7E-9,1.000E-6
1.080,-999.6E-9,1.000E-6
