VOUT ,leafValue( IS("/M6/D") "factor" 1.083 ) (A),leafValue( IS("/M3/D") "factor" 1.083 ) (A)
0.000,-1.000E-6,0.000
36.00E-3,-1.000E-6,657.2E-9
72.00E-3,-1.000E-6,878.1E-9
108.0E-3,-1.000E-6,920.2E-9
144.0E-3,-1.000E-6,936.2E-9
180.0E-3,-1.000E-6,947.2E-9
216.0E-3,-1.000E-6,956.2E-9
252.0E-3,-1.000E-6,964.0E-9
288.0E-3,-1.000E-6,970.9E-9
324.0E-3,-1.000E-6,977.2E-9
360.0E-3,-1.000E-6,983.0E-9
396.0E-3,-1.000E-6,988.4E-9
432.0E-3,-1.000E-6,993.7E-9
468.0E-3,-1.000E-6,996.1E-9
504.0E-3,-1.000E-6,998.4E-9
540.0E-3,-1.000E-6,999.3E-9
576.0E-3,-1.000E-6,999.9E-9
612.0E-3,-1.000E-6,999.6E-9
648.0E-3,-1.000E-6,999.6E-9
684.0E-3,-1.000E-6,999.7E-9
720.0E-3,-999.9E-9,999.7E-9
756.0E-3,-999.9E-9,999.8E-9
792.0E-3,-999.9E-9,999.8E-9
828.0E-3,-999.9E-9,999.8E-9
864.0E-3,-999.8E-9,999.9E-9
900.0E-3,-999.8E-9,999.9E-9
936.0E-3,-999.8E-9,999.9E-9
972.0E-3,-999.7E-9,999.9E-9
1.008,-999.7E-9,1.000E-6
1.044,-999.7E-9,1.000E-6
1.080,-999.6E-9,1.000E-6
1.116,-999.6E-9,1.000E-6
1.152,-999.5E-9,1.000E-6
1.188,-999.4E-9,1.000E-6
1.224,-1.000E-6,1.000E-6
1.260,-996.6E-9,1.000E-6
1.296,-995.3E-9,1.000E-6
1.332,-991.4E-9,1.000E-6
1.368,-987.4E-9,1.000E-6
1.404,-983.2E-9,1.000E-6
1.440,-978.9E-9,1.000E-6
1.476,-974.3E-9,1.000E-6
1.512,-969.4E-9,1.000E-6
1.548,-964.2E-9,1.000E-6
1.584,-958.4E-9,1.000E-6
1.620,-951.7E-9,1.000E-6
1.656,-942.5E-9,1.000E-6
1.692,-921.1E-9,1.000E-6
1.728,-827.2E-9,1.000E-6
1.764,-535.2E-9,1.000E-6
1.800,-56.88E-18,1.000E-6
