VOUT ,leafValue( IS("/M6/D") "factor" 1.083 ) (A),leafValue( IS("/M3/D") "factor" 1.083 ) (A)
600.0E-3,-1.000E-6,999.5E-9
612.0E-3,-1.000E-6,999.6E-9
624.0E-3,-1.000E-6,999.6E-9
636.0E-3,-1.000E-6,999.6E-9
648.0E-3,-1.000E-6,999.6E-9
660.0E-3,-1.000E-6,999.6E-9
672.0E-3,-1.000E-6,999.7E-9
684.0E-3,-1.000E-6,999.7E-9
696.0E-3,-999.9E-9,999.7E-9
708.0E-3,-999.9E-9,999.7E-9
720.0E-3,-999.9E-9,999.7E-9
732.0E-3,-999.9E-9,999.7E-9
744.0E-3,-999.9E-9,999.7E-9
756.0E-3,-999.9E-9,999.8E-9
768.0E-3,-999.9E-9,999.8E-9
780.0E-3,-999.9E-9,999.8E-9
792.0E-3,-999.9E-9,999.8E-9
804.0E-3,-999.9E-9,999.8E-9
816.0E-3,-999.9E-9,999.8E-9
828.0E-3,-999.9E-9,999.8E-9
840.0E-3,-999.8E-9,999.8E-9
852.0E-3,-999.8E-9,999.9E-9
864.0E-3,-999.8E-9,999.9E-9
876.0E-3,-999.8E-9,999.9E-9
888.0E-3,-999.8E-9,999.9E-9
900.0E-3,-999.8E-9,999.9E-9
912.0E-3,-999.8E-9,999.9E-9
924.0E-3,-999.8E-9,999.9E-9
936.0E-3,-999.8E-9,999.9E-9
948.0E-3,-999.8E-9,999.9E-9
960.0E-3,-999.8E-9,999.9E-9
972.0E-3,-999.7E-9,999.9E-9
984.0E-3,-999.7E-9,1.000E-6
996.0E-3,-999.7E-9,1.000E-6
1.008,-999.7E-9,1.000E-6
1.020,-999.7E-9,1.000E-6
1.032,-999.7E-9,1.000E-6
1.044,-999.7E-9,1.000E-6
1.056,-999.7E-9,1.000E-6
1.068,-999.7E-9,1.000E-6
1.080,-999.6E-9,1.000E-6
1.092,-999.6E-9,1.000E-6
1.104,-999.6E-9,1.000E-6
1.116,-999.6E-9,1.000E-6
1.128,-999.6E-9,1.000E-6
1.140,-999.6E-9,1.000E-6
1.152,-999.5E-9,1.000E-6
1.164,-999.5E-9,1.000E-6
1.176,-999.4E-9,1.000E-6
1.188,-999.3E-9,1.000E-6
1.200,-999.1E-9,1.000E-6
