VOUT ,leafValue( IS("/M6/D") "factor" 1.083 ) (A),leafValue( IS("/M3/D") "factor" 1.083 ) (A)
810.0E-3,-999.9E-9,999.8E-9
813.6E-3,-999.9E-9,999.8E-9
817.2E-3,-999.9E-9,999.8E-9
820.8E-3,-999.9E-9,999.8E-9
824.4E-3,-999.9E-9,999.8E-9
828.0E-3,-999.9E-9,999.8E-9
831.6E-3,-999.9E-9,999.8E-9
835.2E-3,-999.8E-9,999.8E-9
838.8E-3,-999.8E-9,999.8E-9
842.4E-3,-999.8E-9,999.8E-9
846.0E-3,-999.8E-9,999.8E-9
849.6E-3,-999.8E-9,999.8E-9
853.2E-3,-999.8E-9,999.9E-9
856.8E-3,-999.8E-9,999.9E-9
860.4E-3,-999.8E-9,999.9E-9
864.0E-3,-999.8E-9,999.9E-9
867.6E-3,-999.8E-9,999.9E-9
871.2E-3,-999.8E-9,999.9E-9
874.8E-3,-999.8E-9,999.9E-9
878.4E-3,-999.8E-9,999.9E-9
882.0E-3,-999.8E-9,999.9E-9
885.6E-3,-999.8E-9,999.9E-9
889.2E-3,-999.8E-9,999.9E-9
892.8E-3,-999.8E-9,999.9E-9
896.4E-3,-999.8E-9,999.9E-9
900.0E-3,-999.8E-9,999.9E-9
903.6E-3,-999.8E-9,999.9E-9
907.2E-3,-999.8E-9,999.9E-9
910.8E-3,-999.8E-9,999.9E-9
914.4E-3,-999.8E-9,999.9E-9
918.0E-3,-999.8E-9,999.9E-9
921.6E-3,-999.8E-9,999.9E-9
925.2E-3,-999.8E-9,999.9E-9
928.8E-3,-999.8E-9,999.9E-9
932.4E-3,-999.8E-9,999.9E-9
936.0E-3,-999.8E-9,999.9E-9
939.6E-3,-999.8E-9,999.9E-9
943.2E-3,-999.8E-9,999.9E-9
946.8E-3,-999.8E-9,999.9E-9
950.4E-3,-999.8E-9,999.9E-9
954.0E-3,-999.8E-9,999.9E-9
957.6E-3,-999.8E-9,999.9E-9
961.2E-3,-999.8E-9,999.9E-9
964.8E-3,-999.8E-9,999.9E-9
968.4E-3,-999.7E-9,999.9E-9
972.0E-3,-999.7E-9,999.9E-9
975.6E-3,-999.7E-9,999.9E-9
979.2E-3,-999.7E-9,1.000E-6
982.8E-3,-999.7E-9,1.000E-6
986.4E-3,-999.7E-9,1.000E-6
990.0E-3,-999.7E-9,1.000E-6
