VOUT ,leafValue( IS("/I82/IOUT") "factor" 1.075 ) (A)
0.000,-40.79E-12
36.00E-3,733.8E-9
72.00E-3,855.8E-9
108.0E-3,878.5E-9
144.0E-3,891.1E-9
180.0E-3,901.1E-9
216.0E-3,909.6E-9
252.0E-3,917.3E-9
288.0E-3,924.4E-9
324.0E-3,930.9E-9
360.0E-3,937.1E-9
396.0E-3,942.9E-9
432.0E-3,948.5E-9
468.0E-3,953.8E-9
504.0E-3,958.9E-9
540.0E-3,963.8E-9
576.0E-3,968.6E-9
612.0E-3,973.3E-9
648.0E-3,977.8E-9
684.0E-3,982.2E-9
720.0E-3,986.6E-9
756.0E-3,990.8E-9
792.0E-3,994.9E-9
828.0E-3,999.0E-9
864.0E-3,1.003E-6
900.0E-3,1.007E-6
936.0E-3,1.011E-6
972.0E-3,1.015E-6
1.008,1.018E-6
1.044,1.022E-6
1.080,1.026E-6
1.116,1.030E-6
1.152,1.033E-6
1.188,1.037E-6
1.224,1.040E-6
1.260,1.044E-6
1.296,1.047E-6
1.332,1.051E-6
1.368,1.054E-6
1.404,1.057E-6
1.440,1.061E-6
1.476,1.064E-6
1.512,1.068E-6
1.548,1.071E-6
1.584,1.074E-6
1.620,1.077E-6
1.656,1.081E-6
1.692,1.084E-6
1.728,1.087E-6
1.764,1.090E-6
1.800,1.094E-6
