TotalVinPowABS X,TotalVinPowABS Y,BranchVDDPowABs X,BranchVDDPowABs Y,BranchCapRefAbs X,BranchCapRefAbs Y,VDDPowAbs X,VDDPowAbs Y,Comparator X,Comparator Y,WeightInverters X,WeightInverters Y,VDD_DIG_POW X,VDD_DIG_POW Y,
,Current flowing into mirrors due to all input pulses,,Power From VDD for both branches ,,Power to both Caps for reset,,VDD Power Abs (Branches and cap ref and input current and comparator),,Output comparator,,Inverters for a single weight signal  multiplied by 45,,Digital power source (includes weight inverters,
46,5.57E-07,46,1.58E-05,46,3.92E-07,46,6.95E-05,46,5.33E-05,46,3.89E-06,46,6.39E-05,
47,4.33E-07,47,1.58E-05,47,3.64E-07,47,6.90E-05,47,5.28E-05,47,3.89E-06,47,6.39E-05,
48,4.06E-07,48,1.58E-05,48,3.68E-07,48,6.90E-05,48,5.28E-05,48,3.89E-06,48,6.39E-05,
49,5.09E-07,49,1.58E-05,49,3.79E-07,49,6.93E-05,49,5.31E-05,49,3.89E-06,49,6.39E-05,
50,5.42E-07,50,1.58E-05,50,3.89E-07,50,6.95E-05,50,5.32E-05,50,3.89E-06,50,6.39E-05,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Average,4.68E-07,,1.58E-05,,3.75E-07,,6.91E-05,,5.29E-05,,3.89E-06,,6.39E-05,
,,,,,,,,,,,,,,
,468 nW,,15.8 uW,,375 nW,,69.1 uW,,52.9 uW,,3.89 uW,,63.9uW,
,,,,,,,,,,,,,,
,Total Analogue Power,1.66E-05,,,,,,,,,,,,
,Total Digital Power,0,Neither comparator nor weights should really be counted.,,,,,,,,,,,
,Total Power,,,,,,1.33E-04,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
