Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: line=1,,,,,,
1,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-11.41e-3,,,
Parameters: line=2,,,,,,
2,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",54.07e-3,,,
Parameters: line=3,,,,,,
3,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",134.8e-3,,,
Parameters: line=4,,,,,,
4,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",60.14e-3,,,
Parameters: line=5,,,,,,
5,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",160e-3,,,
Parameters: line=6,,,,,,
6,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",11.31e-3,,,
Parameters: line=7,,,,,,
7,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-251.6e-3,,,
Parameters: line=8,,,,,,
8,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",45.44e-3,,,
Parameters: line=9,,,,,,
9,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-100.7e-3,,,
Parameters: line=10,,,,,,
10,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",117.2e-3,,,
Parameters: line=11,,,,,,
11,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",158.9e-3,,,
Parameters: line=12,,,,,,
12,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",96.69e-3,,,
Parameters: line=13,,,,,,
13,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-261.6e-3,,,
Parameters: line=14,,,,,,
14,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-85.91e-3,,,
Parameters: line=15,,,,,,
15,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",117.8e-3,,,
Parameters: line=16,,,,,,
16,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-70.37e-3,,,
Parameters: line=17,,,,,,
17,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",102.5e-3,,,
Parameters: line=18,,,,,,
18,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-208.5e-3,,,
Parameters: line=19,,,,,,
19,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",2.04e-3,,,
Parameters: line=20,,,,,,
20,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",23.74e-3,,,
Parameters: line=21,,,,,,
21,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-148.9e-3,,,
Parameters: line=22,,,,,,
22,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",15.37e-6,,,
Parameters: line=23,,,,,,
23,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",83.51e-3,,,
Parameters: line=24,,,,,,
24,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-30.5e-3,,,
Parameters: line=25,,,,,,
25,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-58.39e-3,,,
Parameters: line=26,,,,,,
26,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-2.044e-3,,,
Parameters: line=27,,,,,,
27,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-174.5e-3,,,
Parameters: line=28,,,,,,
28,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",41.53e-3,,,
Parameters: line=29,,,,,,
29,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-12.64e-3,,,
Parameters: line=30,,,,,,
30,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",117.2e-3,,,
Parameters: line=31,,,,,,
31,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-93.34e-3,,,
Parameters: line=32,,,,,,
32,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-85.06e-3,,,
Parameters: line=33,,,,,,
33,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-7.474e-3,,,
Parameters: line=34,,,,,,
34,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",123.3e-3,,,
Parameters: line=35,,,,,,
35,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",22.93e-3,,,
Parameters: line=36,,,,,,
36,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-99.89e-3,,,
Parameters: line=37,,,,,,
37,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",48.9e-3,,,
Parameters: line=38,,,,,,
38,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",9.968e-3,,,
Parameters: line=39,,,,,,
39,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-38.03e-3,,,
Parameters: line=40,,,,,,
40,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",26.98e-3,,,
Parameters: line=41,,,,,,
41,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-135.2e-3,,,
Parameters: line=42,,,,,,
42,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-212.7e-3,,,
Parameters: line=43,,,,,,
43,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",78.22e-3,,,
Parameters: line=44,,,,,,
44,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",99.72e-3,,,
Parameters: line=45,,,,,,
45,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",76.76e-3,,,
Parameters: line=46,,,,,,
46,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-8.324e-3,,,
Parameters: line=47,,,,,,
47,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",71.83e-3,,,
Parameters: line=48,,,,,,
48,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",44.33e-3,,,
Parameters: line=49,,,,,,
49,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-15.21e-3,,,
Parameters: line=50,,,,,,
50,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",41.87e-3,,,
Parameters: line=51,,,,,,
51,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-158.6e-3,,,
Parameters: line=52,,,,,,
52,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",33.69e-3,,,
Parameters: line=53,,,,,,
53,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-169.3e-3,,,
Parameters: line=54,,,,,,
54,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-40e-3,,,
Parameters: line=55,,,,,,
55,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",3.55e-3,,,
Parameters: line=56,,,,,,
56,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-45.15e-3,,,
Parameters: line=57,,,,,,
57,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-138.4e-3,,,
Parameters: line=58,,,,,,
58,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",59.78e-3,,,
Parameters: line=59,,,,,,
59,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-11.71e-3,,,
Parameters: line=60,,,,,,
60,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",66.78e-3,,,
Parameters: line=61,,,,,,
61,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-29.5e-3,,,
Parameters: line=62,,,,,,
62,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-59.81e-3,,,
Parameters: line=63,,,,,,
63,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-22.32e-3,,,
Parameters: line=64,,,,,,
64,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",147.9e-3,,,
Parameters: line=65,,,,,,
65,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-30.8e-3,,,
Parameters: line=66,,,,,,
66,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-248.3e-3,,,
Parameters: line=67,,,,,,
67,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-102.9e-3,,,
Parameters: line=68,,,,,,
68,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",100.7e-3,,,
Parameters: line=69,,,,,,
69,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",3.58e-3,,,
Parameters: line=70,,,,,,
70,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",58.12e-3,,,
Parameters: line=71,,,,,,
71,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",15.37e-6,,,
Parameters: line=72,,,,,,
72,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",144e-3,,,
Parameters: line=73,,,,,,
73,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",24.28e-3,,,
Parameters: line=74,,,,,,
74,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",102.7e-3,,,
Parameters: line=75,,,,,,
